true_label,predicted_label,is_misclassification,probabilities,Entropy Calculator,External Calculator (NaiveBayes)
7,7,0,[0.  0.  0.  0.  0.  0.  0.  0.7 0.  0.3],0.7347050044258784,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
8,8,0,[0.  0.  0.  0.  0.  0.  0.  0.  0.9 0.1],0.8588182584953924,0.9999999963772587
2,2,0,[0.  0.  0.9 0.  0.  0.  0.1 0.  0.  0. ],0.8588182584953924,1.0
0,0,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
2,5,1,[0.2 0.1 0.  0.2 0.  0.3 0.  0.  0.1 0.1],0.2635483746814913,1.0
9,9,0,[0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.9],0.8588182584953924,1.0
9,9,0,[0.  0.  0.  0.  0.1 0.1 0.1 0.1 0.2 0.4],0.3010299956639812,1.0
5,5,0,[0.  0.  0.  0.  0.  0.8 0.  0.  0.1 0.1],0.7224719895935549,1.0
5,5,0,[0.  0.1 0.  0.  0.  0.9 0.  0.  0.  0. ],0.8588182584953924,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
5,5,0,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0
6,6,0,[0.  0.  0.  0.  0.1 0.  0.9 0.  0.  0. ],0.8588182584953924,1.0
0,0,0,[0.8 0.  0.  0.  0.  0.1 0.  0.  0.1 0. ],0.7224719895935549,0.999969115771423
3,3,0,[0.  0.  0.  0.7 0.  0.1 0.1 0.1 0.  0. ],0.5915686280099797,1.0
4,4,0,[0.  0.  0.  0.  0.6 0.1 0.  0.1 0.1 0.1],0.4668907502301861,1.0
4,4,0,[0.  0.  0.1 0.  0.7 0.1 0.  0.  0.  0.1],0.5915686280099797,1.0
6,6,0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.0,1.0
5,5,0,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0
4,4,0,[0.  0.  0.  0.  0.8 0.  0.  0.  0.  0.2],0.7826779887263511,0.999999999464
6,6,0,[0.  0.  0.1 0.  0.2 0.  0.7 0.  0.  0. ],0.651774627142776,1.0
5,5,0,[0.  0.  0.  0.1 0.  0.9 0.  0.  0.  0. ],0.8588182584953924,1.0
4,4,0,[0.  0.  0.1 0.  0.6 0.1 0.  0.  0.  0.2],0.5270967493629823,1.0
5,5,0,[0.1 0.  0.  0.2 0.1 0.6 0.  0.  0.  0. ],0.5270967493629823,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
4,4,0,[0.  0.  0.  0.  0.9 0.  0.  0.1 0.  0. ],0.8588182584953924,1.0
4,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.0,1.0
7,7,0,[0.  0.  0.1 0.  0.  0.  0.  0.7 0.1 0.1],0.5915686280099797,1.0
2,2,0,[0.  0.  0.8 0.  0.  0.  0.1 0.  0.  0.1],0.7224719895935549,1.0
3,3,0,[0.  0.  0.  0.6 0.  0.1 0.1 0.1 0.  0.1],0.4668907502301861,0.9999999997667336
2,2,0,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
7,7,0,[0.  0.2 0.  0.  0.  0.  0.  0.8 0.  0. ],0.7826779887263511,0.9999803557171907
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
8,8,0,[0.  0.  0.  0.  0.1 0.  0.  0.1 0.8 0. ],0.7224719895935549,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
8,8,0,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
8,8,0,[0.  0.  0.  0.1 0.  0.  0.  0.  0.9 0. ],0.8588182584953924,1.0
5,5,0,[0.  0.  0.  0.1 0.  0.9 0.  0.  0.  0. ],0.8588182584953924,0.9999254427740362
0,0,0,[0.9 0.  0.  0.  0.  0.  0.1 0.  0.  0. ],0.8588182584953924,1.0
8,8,0,[0.1 0.  0.2 0.1 0.  0.  0.  0.  0.6 0. ],0.5270967493629823,1.0
9,9,0,[0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.9],0.8588182584953924,1.0
2,2,0,[0.  0.  0.9 0.1 0.  0.  0.  0.  0.  0. ],0.8588182584953924,1.0
5,5,0,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0
0,0,0,[0.8 0.  0.  0.  0.  0.  0.1 0.1 0.  0. ],0.7224719895935549,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
1,1,0,[0.  0.8 0.  0.  0.1 0.  0.  0.  0.1 0. ],0.7224719895935549,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
0,0,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
9,9,0,[0.  0.1 0.  0.  0.3 0.1 0.1 0.  0.  0.4],0.38396037294708363,1.0
0,0,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
3,3,0,[0.  0.2 0.  0.3 0.1 0.2 0.  0.1 0.1 0. ],0.2635483746814913,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
6,6,0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.0,1.0
4,4,0,[0.  0.  0.  0.  0.9 0.  0.  0.  0.  0.1],0.8588182584953924,1.0
2,2,0,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
3,3,0,[0.  0.  0.2 0.6 0.  0.1 0.  0.  0.1 0. ],0.5270967493629823,1.0
6,6,0,[0.  0.  0.  0.  0.  0.  0.9 0.  0.  0.1],0.8588182584953924,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
1,1,0,[0.  0.9 0.  0.  0.  0.  0.  0.1 0.  0. ],0.8588182584953924,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
3,3,0,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.0,1.0
9,9,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.0,1.0
5,5,0,[0.1 0.  0.  0.1 0.  0.7 0.  0.  0.1 0. ],0.5915686280099797,1.0
2,2,0,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
9,9,0,[0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.8],0.7826779887263511,1.0
4,4,0,[0.  0.1 0.  0.  0.8 0.  0.1 0.  0.  0. ],0.7224719895935549,1.0
5,5,0,[0.  0.  0.  0.  0.1 0.7 0.  0.1 0.  0.1],0.5915686280099797,1.0
9,9,0,[0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.9],0.8588182584953924,1.0
3,3,0,[0.  0.  0.  0.9 0.1 0.  0.  0.  0.  0. ],0.8588182584953924,1.0
9,9,0,[0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.9],0.8588182584953924,1.0
0,0,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,0.999999999999859
3,3,0,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.0,1.0
6,6,0,[0.  0.  0.  0.  0.  0.2 0.7 0.  0.1 0. ],0.651774627142776,1.0
5,5,0,[0.  0.  0.  0.  0.1 0.8 0.  0.  0.  0.1],0.7224719895935549,1.0
5,5,0,[0.  0.  0.  0.1 0.1 0.7 0.  0.  0.1 0. ],0.5915686280099797,1.0
7,7,0,[0.  0.  0.  0.  0.  0.1 0.  0.8 0.  0.1],0.7224719895935549,1.0
2,2,0,[0.1 0.  0.9 0.  0.  0.  0.  0.  0.  0. ],0.8588182584953924,0.7010510508036498
2,2,0,[0.2 0.  0.3 0.1 0.  0.  0.  0.  0.3 0.1],0.34647875196459355,1.0
7,7,0,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.0,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
2,2,0,[0.  0.  0.9 0.  0.  0.1 0.  0.  0.  0. ],0.8588182584953924,1.0
8,8,0,[0.  0.  0.  0.1 0.  0.  0.  0.  0.9 0. ],0.8588182584953924,0.9999999363358949
4,4,0,[0.  0.  0.  0.1 0.7 0.1 0.  0.1 0.  0. ],0.5915686280099797,0.7921645469650094
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
7,7,0,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.0,1.0
3,3,0,[0.  0.  0.  0.7 0.  0.2 0.1 0.  0.  0. ],0.651774627142776,1.0
3,3,0,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.0,1.0
8,8,0,[0.  0.  0.  0.  0.  0.1 0.  0.  0.9 0. ],0.8588182584953924,1.0
8,8,0,[0.  0.  0.  0.3 0.1 0.  0.  0.  0.5 0.1],0.4926213785839081,1.0
7,7,0,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.0,1.0
9,9,0,[0.  0.  0.  0.1 0.  0.  0.  0.2 0.  0.7],0.651774627142776,1.0
2,2,0,[0.  0.  0.9 0.  0.  0.  0.  0.1 0.  0. ],0.8588182584953924,1.0
2,2,0,[0.  0.  0.9 0.  0.  0.  0.  0.  0.  0.1],0.8588182584953924,1.0
4,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.0,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
5,5,0,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0
9,5,1,[0.  0.  0.  0.2 0.  0.3 0.  0.  0.2 0.3],0.4066847510973899,0.9999948076997598
8,8,0,[0.  0.  0.  0.  0.  0.  0.  0.  0.9 0.1],0.8588182584953924,1.0
7,7,0,[0.  0.  0.1 0.1 0.1 0.  0.1 0.5 0.  0.1],0.3494850021680093,0.9999999999992827
2,2,0,[0.  0.  0.6 0.2 0.1 0.  0.1 0.  0.  0. ],0.5270967493629823,0.9997223411754163
3,3,0,[0.  0.  0.  0.6 0.1 0.  0.2 0.  0.1 0. ],0.5270967493629823,1.0
0,0,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
4,2,1,[0.  0.  0.4 0.1 0.  0.  0.3 0.  0.2 0. ],0.4441663720798799,1.0
4,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.0,1.0
2,2,0,[0.  0.1 0.9 0.  0.  0.  0.  0.  0.  0. ],0.8588182584953924,1.0
4,4,0,[0.  0.  0.  0.1 0.5 0.  0.  0.  0.1 0.3],0.49262137858390803,1.0
1,1,0,[0.  0.7 0.  0.  0.  0.2 0.  0.  0.  0.1],0.651774627142776,1.0
9,9,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.0,1.0
5,5,0,[0.  0.  0.  0.1 0.  0.9 0.  0.  0.  0. ],0.8588182584953924,1.0
7,7,0,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.0,1.0
7,7,0,[0.  0.  0.1 0.  0.  0.  0.  0.9 0.  0. ],0.8588182584953924,1.0
2,2,0,[0.  0.  0.9 0.1 0.  0.  0.  0.  0.  0. ],0.8588182584953924,1.0
8,8,0,[0.  0.  0.  0.2 0.  0.  0.2 0.  0.6 0. ],0.5873027484957786,1.0
2,2,0,[0.  0.  0.9 0.  0.  0.  0.1 0.  0.  0. ],0.8588182584953924,1.0
6,0,1,[0.4 0.1 0.  0.  0.  0.1 0.4 0.  0.  0. ],0.48164799306236994,1.0
8,8,0,[0.  0.  0.  0.  0.  0.  0.  0.  0.9 0.1],0.8588182584953924,1.0
5,5,0,[0.  0.  0.  0.1 0.  0.9 0.  0.  0.  0. ],0.8588182584953924,1.0
7,7,0,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.0,1.0
7,7,0,[0.  0.  0.  0.  0.  0.  0.  0.9 0.  0.1],0.8588182584953924,1.0
9,9,0,[0.  0.  0.  0.1 0.3 0.  0.  0.  0.1 0.5],0.4926213785839081,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
8,8,0,[0.1 0.  0.  0.1 0.  0.  0.  0.  0.8 0. ],0.7224719895935549,1.0
1,1,0,[0.  0.9 0.  0.  0.  0.  0.1 0.  0.  0. ],0.8588182584953924,1.0
8,8,0,[0.  0.  0.  0.2 0.  0.2 0.1 0.  0.5 0. ],0.46989700043360183,1.0
0,0,0,[0.8 0.  0.1 0.  0.  0.  0.  0.1 0.  0. ],0.7224719895935549,1.0
3,3,0,[0.  0.  0.  0.9 0.  0.1 0.  0.  0.  0. ],0.8588182584953924,0.9999999999870749
0,0,0,[0.9 0.  0.  0.  0.  0.  0.1 0.  0.  0. ],0.8588182584953924,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
