Temperature,Humidity,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Measure10,Measure11,Measure12,Measure13,Measure14,Measure15,Hours Since Previous Failure,true_label,predicted_label,is_misclassification,probabilities,Entropy Calculator,Trust Calculator on 19 Neighbors - Trust,Trust Calculator on 19 Neighbors - Detail,External Calculator (NaiveBayes),Combined Calculator (XGBoost),Multiple Combined Calculator (3 classifiers),Confidence Interval (0.9999%)
64,78,1420,1,1,1595,182,1697,1634,194,935,1827,1109,771,596,592,1258,59,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.968100389521238,0.9954888243228197,0.9866261753116558,15
64,85,378,1,0,1045,160,1068,1298,1425,1881,1523,708,1189,687,1554,1851,242,normal,normal,0,[0.9 0.1],0.5310044064107188,1.0,"[('normal', 19)]",0.9977898852586367,0.763477244829518,0.7648161271884942,15
67,84,1527,3,1,1635,1730,1831,692,648,717,431,1555,590,1986,1568,660,183,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9963720922715912,0.9990580297890119,0.9985349019183869,17
68,77,1980,0,1,616,646,875,559,1139,931,984,1763,941,1294,822,580,199,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9761053587126074,0.9993712265277281,0.9709719419751629,17
63,77,1473,0,1,1086,1566,1289,451,1398,1695,1236,634,272,1313,1770,1615,31,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9673634755062841,0.9975490192882717,0.980740964091737,16
66,75,1308,0,1,1427,180,395,1156,1968,235,569,484,509,1638,638,1996,177,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.6316203967372209,0.9893190637230873,0.7739434366519206,17
61,90,1868,2,2,1545,521,1164,1142,404,819,1555,549,1651,1683,296,478,144,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.99998486810798,0.9987046255264431,0.9999967193348537,18
62,84,1480,3,0,385,917,708,713,1591,187,1057,819,605,1409,1628,319,404,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9993154621556122,0.9986574865179136,0.9997572940492302,17
67,75,1982,0,0,1110,459,1123,264,493,538,959,1920,1746,929,576,988,171,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9825170024616443,0.9958358788862824,0.9216731383128368,18
61,80,1460,0,0,1277,1392,1276,553,1707,1399,1773,215,282,1702,904,1074,147,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9926787920194247,0.9933262364938855,0.9959643421024085,17
68,83,272,3,2,167,563,1123,960,1374,1080,1010,1637,1352,2005,269,1428,170,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9987838034985131,0.9991379914572462,0.9989953968280654,17
62,81,885,3,2,711,1038,775,228,979,1444,1350,1115,318,850,1764,321,535,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998125273114655,0.9993446170119569,0.9999128716142529,16
60,80,887,0,1,1950,815,1745,1657,1437,1465,1393,1352,247,367,1218,931,389,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9996979785298579,0.9968411282170564,0.9998642464550929,17
61,79,256,3,2,247,1665,1285,1929,1548,719,1472,1083,1759,633,899,264,472,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998878474418338,0.9993880914407782,0.9999573469568951,17
66,87,1350,2,2,1666,1120,229,627,1273,1559,1193,1055,563,965,1751,571,223,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.99973135897529,0.9998457021720242,0.9999134619977177,17
60,77,177,0,1,1689,418,327,1276,1262,1119,1180,1671,737,567,1931,896,38,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9989558383856776,0.9990038255928084,0.9996732559867773,17
64,75,1298,3,1,378,1143,592,976,1052,1536,312,1811,209,663,1864,1423,479,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9938717586717412,0.9900416200980544,0.9960502765333653,15
65,92,1811,2,0,1762,530,1144,161,1336,373,279,987,1181,705,1158,1729,346,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9996526209726634,0.9968922839034349,0.9998837834810121,17
61,77,798,3,0,869,979,535,891,1611,949,1880,1975,1053,361,920,652,40,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9991896413155017,0.9995245471654925,0.9992288183895296,18
64,83,864,0,0,1113,1318,1043,344,1650,574,1453,1544,211,242,346,1741,392,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9990329037404378,0.9965777131728828,0.9983903978355592,16
60,79,388,2,2,295,471,326,1167,554,175,2000,1467,1482,265,1608,390,191,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998914434196484,0.9988360889256,0.9999560099011221,18
60,89,1692,3,1,661,630,1560,787,738,871,1381,276,1325,1648,1559,421,47,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998971160662381,0.9985367633635178,0.999979116548518,17
60,81,1348,2,1,791,194,1439,1839,1644,306,221,1223,562,1706,548,1765,55,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9987905941789071,0.9982822713209316,0.9996537051534782,17
62,77,1803,0,1,1281,1820,317,587,624,619,1702,1174,1775,1568,1223,234,47,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9961232350950471,0.998168014222756,0.9987220657596465,17
68,86,301,2,0,497,448,355,1884,1054,223,189,678,1502,751,323,285,63,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9921260107829472,0.9994171668076888,0.9979240872655266,17
60,80,1955,0,1,1122,1594,781,560,385,1497,215,384,867,1758,1112,1968,71,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9962102381712555,0.9968595451209694,0.9991108671262903,16
61,84,1242,0,2,378,923,758,283,467,1556,1629,779,662,1436,1315,1668,118,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9997328610813906,0.9996549852367025,0.9999252335148222,18
61,86,278,0,1,639,435,380,1600,2004,1816,1236,461,1301,735,213,1392,32,normal,normal,0,[0.9 0.1],0.5310044064107188,1.0,"[('normal', 19)]",0.999549399460619,0.7583333304577891,0.7654179698042594,17
63,80,1462,2,2,1672,817,1640,628,607,1416,288,1851,1744,1900,1538,1084,578,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998115702504573,0.9986097966320813,0.9999232813909682,17
62,83,1660,0,1,1500,696,821,853,1579,1356,1663,1325,910,582,1838,1946,310,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9996038078479389,0.9993888307362795,0.9997935366376763,17
61,82,1097,1,0,1452,225,666,1370,829,1734,237,526,1838,950,1888,1927,513,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9988205556151399,0.9987916515674442,0.9997376356425738,17
68,77,218,2,2,1795,1129,1195,910,1794,1136,157,1427,309,1041,1058,396,192,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.979462425016616,0.9995745013875421,0.9812362909212075,18
