Raw Read Error Rate,SpinUpTime,Reallocated Sector Count,Seek Error Rate,Power on Hours,Reported Uncorrectable Error,High Fly Writes,Temperature Celsius,Hardware ECC Recovered,Current Pending Sector,Reallocated Sectors Count,Current Pending Sectors counts,true_label,predicted_label,is_misclassification,probabilities,Entropy Calculator,Trust Calculator on 19 Neighbors - Trust,Trust Calculator on 19 Neighbors - Detail,External Calculator (NaiveBayes),Combined Calculator (XGBoost),Multiple Combined Calculator (3 classifiers),Confidence Interval (0.9999%)
0.451613,1.0,-1.0,0.560976,-0.052632,1.0,0.939394,-0.371429,-0.247312,1.0,0.948488,-1.0,fail,fail,0,[0.1 0.9],0.5310044064107188,0.7368421052631579,"[('fail', 14), ('normal', 5)]",1.0,0.7474850601942662,0.6395441402240661,10
0.419355,1.0,1.0,0.512195,0.157895,1.0,0.636364,-0.657143,-0.075269,1.0,-0.996219,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999965841,0.9952427507378161,0.9587461822112706,10
0.387097,1.0,0.979798,0.536585,0.052632,1.0,1.0,-0.257143,-0.311828,1.0,-0.973535,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.999999999997934,0.9982683541020378,0.9750718108394821,10
0.483871,1.0,1.0,0.536585,0.052632,1.0,0.89899,-0.6,-0.16129,1.0,-0.997164,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999963985,0.9985911558615044,0.9518101806695568,9
0.322581,1.0,1.0,0.560976,0.052632,1.0,0.636364,-0.428571,-0.096774,1.0,-0.996692,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999985677,0.9992300776066259,0.9721888350771796,9
0.193548,1.0,1.0,0.536585,0.157895,1.0,0.777778,-0.714286,-0.075269,1.0,-0.995747,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999947732,0.998203476658091,0.9556192909684018,10
0.419355,1.0,1.0,0.536585,0.052632,1.0,0.939394,-0.542857,-0.032258,1.0,-0.997164,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999967131,0.9989966545253992,0.9585562834924278,10
0.290323,1.0,1.0,0.390244,0.578947,1.0,1.0,-0.2,-0.204301,1.0,-0.999527,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999988442715,0.999349448014982,0.9923719634061436,10
0.451613,1.0,1.0,0.536585,0.052632,1.0,0.878788,-0.657143,-0.268817,1.0,-0.999527,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999920899,0.9980379019398242,0.9447741387313563,9
0.387097,1.0,1.0,0.536585,0.052632,1.0,0.979798,-0.6,-0.096774,1.0,-0.997164,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999973269,0.9985233788611367,0.9519851497799315,10
0.0,1.0,1.0,0.560976,0.052632,1.0,0.777778,-0.657143,-0.11828,1.0,-0.994802,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999662347,0.996665739454329,0.9529093459636481,10
0.419355,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.485714,-0.268817,1.0,-0.98535,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999957698,0.9984656150918454,0.9596279240150943,9
0.419355,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.2,-0.053763,1.0,-0.999055,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999995761,0.9997253764013294,0.9806465076551584,10
0.322581,1.0,1.0,0.512195,0.157895,1.0,0.959596,-0.657143,0.010753,1.0,-0.994329,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.999999999993483,0.9974993872456253,0.9563484810951194,9
0.483871,1.0,1.0,0.560976,0.052632,1.0,1.0,-0.714286,-0.182796,1.0,-0.996219,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999950033,0.9906182941049337,0.9411743519542329,10
0.322581,1.0,1.0,0.390244,0.578947,1.0,0.79798,-0.657143,-0.11828,1.0,-1.0,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999924055902,0.9959941166453063,0.978656131300121,9
0.129032,0.555556,1.0,0.560976,-0.157895,1.0,0.292929,-0.771429,-0.010753,1.0,-0.999055,-1.0,fail,fail,0,[0.1 0.9],0.5310044064107188,0.47368421052631576,"[('normal', 10), ('fail', 9)]",0.9999999850853207,0.758272069921476,0.6428000382135489,10
0.451613,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.657143,-0.075269,1.0,-0.999527,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999962356,0.9980374041479081,0.9458637402538116,10
0.419355,1.0,-0.212121,0.585366,-0.263158,1.0,0.575758,-0.657143,-0.225806,1.0,0.168715,-1.0,fail,fail,0,[0. 1.],1.0,0.5263157894736842,"[('fail', 10), ('normal', 9)]",0.9999999999992056,0.9969537975266576,0.7435696505934363,10
0.387097,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.542857,-0.11828,1.0,-0.997637,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.999999999997836,0.9995961095555685,0.9570575617716219,10
0.290323,-0.333333,0.838384,0.390244,-0.157895,0.878788,0.393939,-0.314286,-0.053763,1.0,-0.82656,-0.959551,fail,fail,0,[0. 1.],1.0,1.0,"[('fail', 19)]",1.0,0.9893016153946519,0.9999354059612205,11
0.419355,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.657143,-0.053763,1.0,-0.999527,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999961697,0.9985114558367059,0.9462870206673344,10
-0.096774,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.6,-0.010753,1.0,-0.999527,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999997913513,0.9993972603115253,0.9546425668585519,10
0.419355,1.0,1.0,0.536585,0.052632,1.0,0.979798,-0.314286,-0.311828,1.0,-0.997164,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.999999999996892,0.9993769235443324,0.9728229769501181,10
0.387097,1.0,0.979798,0.536585,0.157895,1.0,1.0,-0.428571,-0.11828,1.0,-0.965974,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999987836,0.9997588303958764,0.9730952799095728,10
0.419355,1.0,1.0,0.560976,0.052632,1.0,1.0,-0.657143,-0.075269,1.0,-0.999527,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.999999999996447,0.9956690515391529,0.9495422914764012,10
0.419355,1.0,1.0,0.560976,0.052632,1.0,1.0,-0.6,-0.096774,1.0,-0.999055,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999971042,0.9968547527678311,0.9549908159249799,10
0.451613,1.0,0.858586,0.560976,0.052632,1.0,0.878788,0.542857,-0.075269,1.0,-0.862949,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999999999,0.9950078101828694,0.9963839124512335,7
0.387097,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.657143,-0.053763,1.0,-0.998582,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999963628,0.9992014708695933,0.9463434812727965,10
0.387097,1.0,1.0,0.536585,-0.052632,1.0,1.0,-0.771429,-0.096774,1.0,-0.996692,-1.0,fail,fail,0,[0.3 0.7],0.1187091007693073,0.10526315789473684,"[('normal', 17), ('fail', 2)]",0.999999999993387,0.20141339971937045,-0.47375171413095035,10
0.290323,1.0,1.0,0.536585,0.052632,1.0,0.151515,-0.6,-0.290323,1.0,-0.994329,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.999999999994204,0.996854692697525,0.9592855678716258,10
0.322581,1.0,1.0,0.414634,0.578947,1.0,1.0,0.142857,-0.053763,1.0,-0.999055,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999869923,0.9993279251502827,0.9971978992834604,9
0.193548,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.485714,-0.290323,1.0,-0.999055,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999913523,0.9995263152231928,0.960877351834049,9
0.419355,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.485714,-0.204301,1.0,-1.0,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999976446,0.9995274610701017,0.9611982718266668,9
0.322581,1.0,1.0,0.536585,0.052632,1.0,0.050505,-0.6,-0.290323,1.0,-1.0,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999951699,0.9988764293957502,0.9605227596365479,9
0.193548,0.555556,1.0,0.512195,0.157895,1.0,1.0,-0.6,-0.096774,1.0,-0.999055,-1.0,normal,normal,0,[0.5 0.5],0.0,0.3157894736842105,"[('fail', 13), ('normal', 6)]",0.9999997653353656,0.06371033191680908,-0.21927197710147914,10
0.387097,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.371429,-0.053763,1.0,-0.995747,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999987573,0.9997062208421994,0.9710836551844491,10
0.193548,1.0,1.0,0.536585,0.052632,1.0,0.979798,-0.371429,-0.075269,1.0,-0.995747,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999981484,0.9995427968096919,0.971524804489861,10
0.451613,0.555556,1.0,0.536585,0.157895,1.0,0.959596,-0.542857,-0.11828,1.0,-0.999527,-1.0,normal,normal,0,[0.9 0.1],0.5310044064107188,0.2631578947368421,"[('fail', 14), ('normal', 5)]",0.9999995294302919,0.6826384104282979,-0.4516753233125572,10
0.387097,1.0,1.0,0.439024,0.578947,1.0,1.0,-0.6,-0.182796,1.0,-1.0,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999989432554,0.9989224496530369,0.9826024452833567,10
0.419355,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.6,-0.182796,1.0,-0.998582,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999969115,0.9994269325979985,0.9506149415762465,10
0.451613,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.657143,-0.096774,1.0,-0.999527,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999964898,0.9965859723743051,0.9455660239971899,10
0.16129,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.6,-0.182796,1.0,-0.998582,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999939697,0.999562508368399,0.9515357579032416,10
0.387097,1.0,1.0,0.560976,0.052632,1.0,1.0,0.257143,-0.075269,1.0,-0.99811,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.999999999999997,0.9994712545303628,0.9941662246170541,10
0.387097,1.0,1.0,0.536585,0.052632,1.0,0.535354,0.371429,-0.010753,1.0,-0.999055,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999999991,0.9997644663963001,0.9959730952270206,10
0.290323,1.0,1.0,0.536585,0.052632,1.0,1.0,0.028571,-0.16129,1.0,-0.996692,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999999533,0.9997334676154424,0.9885703554438843,9
0.258065,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.485714,-0.182796,1.0,-0.995747,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.999999999997621,0.9996422046096995,0.9616853899709813,9
0.258065,1.0,1.0,0.512195,0.157895,1.0,0.939394,-0.657143,-0.11828,1.0,-0.999055,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999963842,0.9987735947361216,0.9555652375513709,10
0.322581,1.0,1.0,0.536585,0.052632,1.0,0.959596,-0.428571,-0.139785,1.0,-0.999527,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999986119,0.9996883136045653,0.9670142873016022,9
0.451613,1.0,1.0,0.560976,0.052632,1.0,1.0,-0.657143,-0.290323,1.0,-0.997637,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999894754,0.9943260182626545,0.9463353305871415,10
0.419355,1.0,1.0,0.536585,0.052632,1.0,0.939394,-0.428571,-0.268817,1.0,-0.99811,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999966988,0.9993121327715926,0.9656525282848355,10
0.387097,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.657143,-0.010753,1.0,-0.999055,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999949494,0.9992014708695933,0.9469630233454608,10
0.451613,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.657143,-0.075269,1.0,-0.999055,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999962356,0.9985079681500793,0.9458282701656241,10
0.387097,1.0,1.0,0.536585,0.052632,1.0,0.939394,-0.657143,-0.053763,1.0,-0.99811,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999963234,0.99876499758102,0.9471094716080272,10
0.451613,1.0,1.0,0.560976,0.052632,1.0,0.959596,-0.542857,-0.139785,1.0,-1.0,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999973884,0.9966254658065736,0.9601029239201594,10
0.451613,1.0,-1.0,0.536585,0.052632,1.0,1.0,-0.6,-0.182796,1.0,0.935255,-1.0,normal,normal,0,[0.7 0.3],0.1187091007693073,0.2631578947368421,"[('fail', 14), ('normal', 5)]",1.0,-0.06127626373685702,-0.45355825349278706,10
0.354839,1.0,1.0,0.536585,0.052632,1.0,0.959596,-0.657143,-0.16129,1.0,-0.997637,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999969211,0.9977405974641442,0.9454554916069747,9
0.419355,1.0,0.959596,0.560976,0.052632,1.0,0.979798,-0.6,-0.204301,1.0,-0.951796,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999960902,0.9857628792524338,0.9502246266771878,10
0.419355,1.0,1.0,0.390244,0.578947,1.0,1.0,-0.2,-0.225806,1.0,-0.995274,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999986835246,0.9958012951537967,0.9921844981308364,10
0.354839,1.0,1.0,0.609756,0.052632,1.0,1.0,-0.371429,-0.139785,1.0,-0.994329,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999980843,0.9991258493391797,0.976299293197543,10
0.16129,1.0,1.0,0.609756,0.052632,1.0,0.858586,-0.371429,-0.010753,1.0,-0.99811,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999930905,0.9993936029495671,0.9785107268017592,9
0.419355,1.0,0.979798,0.560976,-0.052632,1.0,1.0,-0.714286,-0.225806,1.0,-0.977316,-1.0,fail,fail,0,[0.4 0.6],0.02904940554533142,0.0,"[('normal', 19)]",0.9999999999899324,0.4969540730567462,-0.43781221737904025,10
-0.193548,1.0,1.0,0.512195,0.052632,1.0,1.0,-0.428571,-0.075269,1.0,-0.997637,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999994951659,0.9993064489099197,0.9660258599381467,10
0.225806,0.555556,1.0,0.512195,-0.052632,1.0,0.494949,-0.257143,-0.096774,1.0,-1.0,-1.0,fail,fail,0,[0.4 0.6],0.02904940554533142,0.10526315789473684,"[('normal', 17), ('fail', 2)]",0.9999992781375557,0.45344435502605507,0.28404157300177646,10
0.419355,1.0,1.0,0.560976,0.052632,1.0,1.0,-0.542857,-0.139785,1.0,-0.999055,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999976329,0.9981878022663295,0.9597317144621323,10
0.354839,1.0,1.0,0.512195,0.157895,1.0,1.0,-0.6,-0.139785,1.0,-1.0,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.999999999997408,0.9993780109798536,0.9596211303922898,10
0.451613,1.0,1.0,0.536585,0.052632,1.0,1.0,0.257143,-0.139785,1.0,-0.999527,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999999969,0.999590958992485,0.9935072707323611,10
0.387097,1.0,1.0,0.560976,0.052632,1.0,0.858586,-0.314286,-0.247312,1.0,-0.998582,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999986244,0.9987422712147236,0.9761732391979926,9
0.419355,1.0,1.0,0.536585,0.052632,1.0,0.959596,0.485714,-0.096774,1.0,-0.999055,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999999999,0.9996427637524903,0.9964706361348924,10
0.354839,1.0,1.0,0.560976,0.052632,1.0,1.0,-0.428571,-0.096774,1.0,-0.99811,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999985755,0.9993383249384351,0.9692578750748023,10
0.129032,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.314286,-0.204301,1.0,-0.999055,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999975431,0.9997029638616368,0.974181958953166,10
0.290323,1.0,1.0,0.536585,0.052632,1.0,0.838384,-0.657143,-0.311828,1.0,-0.991966,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999868058,0.9960275576449931,0.944828140675171,10
0.451613,1.0,1.0,0.536585,0.052632,1.0,0.959596,-0.657143,-0.16129,1.0,-0.996692,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999964042,0.9971665581688285,0.9450011784100653,9
0.290323,1.0,1.0,0.609756,0.052632,1.0,-0.939394,-0.314286,-0.247312,1.0,-0.999055,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999997715,0.9987268631812185,0.9878597505459531,10
0.354839,1.0,1.0,0.536585,0.157895,1.0,1.0,-0.657143,-0.182796,1.0,-0.999055,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999971155,0.999686360679334,0.956823846433602,10
0.290323,1.0,1.0,0.536585,0.052632,1.0,0.757576,-0.142857,-0.247312,1.0,-0.997164,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999995901,0.9993611385580152,0.9834376422810425,10
0.096774,1.0,1.0,0.536585,0.052632,1.0,0.979798,-0.542857,-0.11828,1.0,-0.998582,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999922239,0.999574554618448,0.9582621976867278,10
0.290323,1.0,-1.0,0.585366,-0.473684,1.0,0.757576,-0.657143,-0.247312,1.0,0.935255,-1.0,fail,fail,0,[0. 1.],1.0,1.0,"[('fail', 19)]",1.0,0.9972040539141744,0.9648963306183523,10
-0.032258,1.0,1.0,0.609756,0.052632,1.0,0.717172,-0.485714,-0.11828,1.0,-0.995747,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.99999999994248,0.9990776914055459,0.9725059917469142,9
0.354839,1.0,1.0,0.536585,0.052632,1.0,1.0,0.371429,-0.204301,1.0,-0.999055,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999999993,0.9997188777197152,0.9950760794459995,10
0.322581,1.0,1.0,0.536585,0.052632,1.0,0.939394,-0.6,-0.16129,1.0,-0.998582,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999972308,0.9990219104802236,0.9519844664527454,8
0.387097,1.0,1.0,0.487805,0.263158,1.0,0.878788,-0.485714,-0.11828,1.0,-1.0,-1.0,normal,normal,0,[0.9 0.1],0.5310044064107188,1.0,"[('normal', 19)]",0.9999999999964286,0.7454309854151133,0.7406776170017201,8
0.258065,1.0,1.0,0.536585,0.052632,1.0,0.89899,-0.485714,-0.204301,1.0,-1.0,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999972822,0.9994389491621405,0.9626772361558299,9
0.290323,1.0,1.0,0.536585,0.052632,1.0,0.515152,-0.142857,-0.096774,1.0,-0.99811,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999997857,0.9996724601951428,0.9852706186355507,10
0.451613,1.0,1.0,0.609756,0.052632,1.0,1.0,-0.314286,-0.139785,1.0,-0.999527,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999984007,0.9990812810719945,0.9792250508777132,10
0.387097,1.0,1.0,0.536585,0.052632,1.0,-0.010101,-0.485714,-0.16129,1.0,-0.995747,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999989545,0.9992855794262141,0.9706838318839122,8
0.290323,1.0,-1.0,0.536585,0.052632,0.979798,1.0,-0.257143,-0.204301,1.0,0.935255,-1.0,normal,fail,1,[0.3 0.7],0.1187091007693073,0.5789473684210527,"[('fail', 11), ('normal', 8)]",1.0,-0.14803505613721712,0.3987632865831268,9
0.193548,1.0,1.0,0.536585,0.052632,1.0,0.79798,-0.657143,-0.182796,1.0,-0.990548,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999943718,0.9982819445431232,0.9474163251420208,10
0.322581,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.485714,-0.247312,1.0,-1.0,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999967855,0.999408446252346,0.9610157435260115,8
0.451613,1.0,1.0,0.560976,0.052632,1.0,0.919192,-0.257143,-0.268817,1.0,-0.999527,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999986311,0.9982876519206911,0.9785726013258359,10
0.451613,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.657143,-0.204301,1.0,-0.998582,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999956461,0.9982728890608996,0.9439806212090988,10
0.387097,-0.703704,1.0,0.536585,-0.052632,1.0,-1.0,-0.714286,-0.053763,1.0,-1.0,-1.0,fail,fail,0,[0. 1.],1.0,0.42105263157894735,"[('normal', 11), ('fail', 8)]",1.0,0.9804639592766762,0.9999951208730334,10
0.290323,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.657143,-0.204301,1.0,-0.998582,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999959209,0.9982795369578525,0.9446191026817531,10
0.290323,0.777778,1.0,0.463415,0.263158,0.979798,1.0,-0.428571,-0.075269,1.0,-0.984877,-1.0,fail,fail,0,[0. 1.],1.0,0.5789473684210527,"[('fail', 11), ('normal', 8)]",0.9994787525978179,0.9958027750253677,-0.8472463681628447,9
0.129032,1.0,1.0,0.536585,-0.263158,1.0,0.979798,-0.485714,-0.247312,1.0,-0.991493,-1.0,fail,fail,0,[0.2 0.8],0.2780719051126377,0.3157894736842105,"[('normal', 13), ('fail', 6)]",0.999999999761257,0.5965740394772955,-0.5546148367536249,9
0.387097,1.0,1.0,0.536585,0.052632,1.0,1.0,-0.542857,-0.053763,1.0,-0.99811,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999973301,0.9995386173541192,0.9578217688908456,10
0.290323,1.0,-1.0,0.609756,-1.0,1.0,1.0,-0.485714,-0.204301,1.0,0.935255,-1.0,fail,fail,0,[0. 1.],1.0,1.0,"[('fail', 19)]",1.0,0.9910550406202674,0.9863403600028448,9
0.290323,1.0,-1.0,0.536585,-0.157895,1.0,1.0,-0.371429,-0.182796,1.0,0.935255,-1.0,fail,fail,0,[0.1 0.9],0.5310044064107188,0.8947368421052632,"[('fail', 17), ('normal', 2)]",1.0,0.7161441929133061,0.6622945555145263,10
0.451613,1.0,1.0,0.536585,0.052632,1.0,0.959596,0.314286,-0.053763,1.0,-1.0,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999999982,0.999577780807158,0.9946006232262442,10
