Duration,Fwd_Status,Serv_Type,Pkt_Exchanged,Byte_Exchanged,true_label,predicted_label,is_misclassification,probabilities,Entropy Calculator,Trust Calculator on 19 Neighbors - Trust,Trust Calculator on 19 Neighbors - Detail,External Calculator (NaiveBayes),Combined Calculator (XGBoost),Multiple Combined Calculator (3 classifiers),Confidence Interval (0.9999%)
0.0,0,40,1,52,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.5470404224204378,0.9979239508065865,0.3689882887294013,4
0.0,0,0,1,44,scan44,scan44,0,[0.01717898 0.98282102 0.         0.         0.         0.        ],0.9515296952184099,1.0,"[('scan44', 19)]",0.9866008044796654,0.9494508137319719,-0.18860694530620178,4
0.0,0,0,1,44,scan44,scan44,0,[0.01717898 0.98282102 0.         0.         0.         0.        ],0.9515296952184099,1.0,"[('scan44', 19)]",0.9866008044796654,0.9494508137319719,-0.18860694530620178,4
3.292,0,0,4,270,normal,normal,0,[0.9 0.  0.  0.  0.1 0. ],0.8185677380393563,0.7894736842105263,"[('normal', 15), ('nerisbotnet', 4)]",0.4683248869875385,0.855639631091232,0.32902244932037955,4
0.0,0,0,1,96,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9863344766841918,0.9866553064104252,0.24491592261924647,4
5.404,0,0,10,8291,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9999990468673087,0.9998376721285465,0.9165585897040134,1
0.0,0,0,1,40,normal,scan44,1,[0.28630299 0.46810973 0.24558729 0.         0.         0.        ],0.40939050014830997,1.0,"[('scan44', 19)]",0.9722502957211441,0.40457205616093594,0.19827765337799583,4
16.344,0,0,8,1232,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999994358,0.9997798117483738,0.2817350775475363,3
53.392,0,0,61,4356,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",1.0,0.9997582875041051,0.9599327554635586,3
15.24,0,0,11,933,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9999999998995679,0.9996202731564381,0.2802655249823571,3
0.0,0,0,1,78,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9854969411559393,0.9962665074599035,0.24280938144822173,4
0.02,0,0,2,104,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9844956776678672,0.9988417718899871,0.2437563763897399,4
0.0,0,0,1,69,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9848218802081727,0.9951699188469026,0.23792652522156957,4
0.0,0,0,1,66,blacklist,normal,1,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9845541217666204,0.9919991997369373,0.23424461203446634,4
0.0,0,72,1,76,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9999924731744299,0.9992371026211413,0.9737250309307893,4
0.0,0,0,1,75,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9852924412369589,0.9973643311290357,0.24183545158041753,4
0.58,0,0,12,1564,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9597539507524488,0.9885178214963409,0.27673047995649275,3
0.0,0,0,1,44,scan44,scan44,0,[0.01717898 0.98282102 0.         0.         0.         0.        ],0.9515296952184099,1.0,"[('scan44', 19)]",0.9866008044796654,0.9494508137319719,-0.18860694530620178,4
0.0,0,0,1,57,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9835951083478289,0.9961912789227416,0.21261524267708498,4
0.0,0,72,1,40,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9999904408728502,0.9742906363461888,0.9736731189045815,4
1.732,0,72,9,793,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,0.9473684210526315,"[('normal', 18), ('blacklist', 1)]",0.9999991684212169,0.997647941881878,0.9750172401932661,3
0.204,0,0,4,902,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.5395899429276981,0.9990627505613245,0.34248810551625014,4
0.0,0,0,1,52,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.7889662821037255,0.996731006018114,0.2322218547498065,4
0.0,0,0,1,188,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,0.8421052631578947,"[('normal', 16), ('nerisbotnet', 3)]",0.9805764403726049,0.9982234679511062,0.2511773208901269,4
0.0,0,0,1,84,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9858480285599597,0.9955883939102682,0.24389368354656596,4
0.0,0,0,1,178,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9822712627247079,0.9982356016209986,0.25038078065850483,4
2.988,0,0,2,96,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9555291530683969,0.9988481551450171,0.2765169156387826,4
0.236,0,0,2,104,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9839469947923934,0.9995811288035492,0.2489734596543076,4
0.0,0,0,1,159,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9845635156016301,0.9977227002474379,0.24898488655425963,4
0.0,0,0,1,44,scan44,scan44,0,[0.01717898 0.98282102 0.         0.         0.         0.        ],0.9515296952184099,1.0,"[('scan44', 19)]",0.9866008044796654,0.9494508137319719,-0.18860694530620178,4
0.0,0,0,1,44,scan44,scan44,0,[0.01717898 0.98282102 0.         0.         0.         0.        ],0.9515296952184099,1.0,"[('scan44', 19)]",0.9866008044796654,0.9494508137319719,-0.18860694530620178,4
2.872,0,0,2,96,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9585318932979406,0.9993038835617127,0.2757319245672398,4
16.128,0,0,6,711,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999991135,0.9990353064107351,0.2805851662935712,4
3.36,0,72,4,196,normal,normal,0,[0.7 0.  0.  0.  0.3 0. ],0.659070141642353,1.0,"[('normal', 19)]",0.9999946439514243,0.7590619955167994,0.8047883082351407,4
15.676,0,40,2,236,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,0.9473684210526315,"[('normal', 18), ('anomaly-spam', 1)]",0.9999999999999998,0.9974160696407661,0.9668394906137804,4
0.0,0,0,1,40,normal,scan44,1,[0.28630299 0.46810973 0.24558729 0.         0.         0.        ],0.40939050014830997,1.0,"[('scan44', 19)]",0.9722502957211441,0.40457205616093594,0.19827765337799583,4
0.0,0,2,1,52,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.7844032776545067,0.9969456096308995,0.2761130812183308,4
0.0,0,0,1,52,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.7889662821037255,0.996731006018114,0.2322218547498065,4
0.116,0,2,2,340,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.5813220319280769,0.9886373582126414,0.33349078195922327,4
0.944,0,26,11,797,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,0.9473684210526315,"[('normal', 18), ('blacklist', 1)]",0.6655659839510281,0.9973195938507569,0.34320311110859625,3
0.0,0,0,1,44,scan44,scan44,0,[0.01717898 0.98282102 0.         0.         0.         0.        ],0.9515296952184099,1.0,"[('scan44', 19)]",0.9866008044796654,0.9494508137319719,-0.18860694530620178,4
15.164,0,0,6,682,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999692808,0.9989967773791679,0.28017678702640514,4
11.948,0,40,12,872,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,0.9473684210526315,"[('normal', 18), ('blacklist', 1)]",0.999999999144105,0.9996661413910726,0.9663190288756601,3
0.236,0,0,14,16553,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",1.0,0.9968955603142309,0.9397574589143519,3
0.0,0,0,1,46,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,0.10526315789473684,"[('scan44', 17), ('normal', 2)]",0.9750698400099901,0.9974808306448733,0.1977512591794276,4
4.616,0,0,25,2331,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,0.9473684210526315,"[('normal', 18), ('nerisbotnet', 1)]",0.9999991299432246,0.9995100729492832,0.9428824019846468,2
0.932,0,0,5,276,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,0.5263157894736842,"[('normal', 10), ('nerisbotnet', 9)]",0.4416409695259874,0.9895356071871511,0.35278579971816787,4
0.0,0,0,1,83,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9857947175510482,0.995840365897291,0.24376188800105505,4
3.592,0,0,9,1075,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.5723643264153231,0.9997189850087278,0.34521490595478627,3
2.904,0,0,2,96,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9577380362863425,0.9987676764483717,0.2759445344634614,4
5.0,0,0,13,1880,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.702137139768416,0.9994404092803363,0.3264700784181634,1
6.872,0,0,26,30989,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",1.0,0.9997856818228097,0.9501357975997332,3
9.032,0,0,18,2072,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.740482110926521,0.9995650043044897,0.9028883795653391,3
0.0,0,0,1,126,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9864063963183091,0.9945311534362193,0.24679454555157168,4
0.0,0,0,1,51,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.6148048333411651,0.996731006018114,0.2597064418940377,4
1.3,0,0,12,2861,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9093840247801331,0.9997660485105463,0.9262925336473854,2
11.316,0,40,8,564,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.999999550351543,0.9967178199564599,0.9659307695213885,3
0.0,0,0,1,78,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9854969411559393,0.9962665074599035,0.24280938144822173,4
7.136,0,24,9,1492,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9994524172591248,0.9997947021595672,0.291881218480937,2
2.86,0,0,2,96,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9588231619735402,0.9993038835617127,0.27565289553345995,4
4.252,0,0,11,6741,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9986094512936073,0.9998376721285465,0.9065874474150468,1
5.424,0,0,6,389,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.7407187121517809,0.9767315972489663,0.31682902383286016,3
0.0,0,72,1,46,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9999908217237052,0.9992154415812555,0.9736818735116458,4
4.8,0,0,11,5869,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9917250746042674,0.9998376721285465,0.897526861552116,1
8.984,0,0,3,144,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9985662344382302,0.9985519171321716,0.27615793139722344,4
0.0,0,0,1,93,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9862386578898092,0.9871200766233391,0.24471063343727348,4
28.128,0,0,13,1888,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",1.0,0.9995058231204148,0.9523004361996182,2
54.832,0,0,16,2831,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",1.0,0.999748204642577,0.9590424703597572,2
0.0,0,0,1,63,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9842634367939518,0.9955413454053025,0.22881246260726204,4
0.0,0,0,1,210,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,0.8947368421052632,"[('normal', 17), ('dos', 2)]",0.9751916103380702,0.9962809873041037,0.2531605006047719,4
2.796,0,40,5,260,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,0.9473684210526315,"[('normal', 18), ('anomaly-spam', 1)]",0.9657084651505731,0.9923220069488509,0.3012971737348528,4
0.0,0,0,2,200,dos,dos,0,[0. 0. 1. 0. 0. 0.],1.0,1.0,"[('dos', 19)]",0.9742130255940469,0.9840779762877135,-0.2508620743124235,4
0.0,0,0,1,148,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.98544722692375,0.9974385910406407,0.24822758602695652,4
23.992,0,0,12,8777,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",1.0,0.9998353456010165,0.894902536560473,2
2.08,0,0,4,240,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.7592239422999874,0.987637321589875,0.3073572375934763,4
0.0,0,0,1,76,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9853628204545769,0.9951719162655701,0.24220838739380493,4
0.228,0,0,4,1060,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.5306501853987087,0.9986988444967757,0.34573386186383664,4
0.364,0,0,11,5743,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.8423558195103175,0.9990611459431084,0.8754561616112088,2
0.0,0,0,2,200,dos,dos,0,[0. 0. 1. 0. 0. 0.],1.0,1.0,"[('dos', 19)]",0.9742130255940469,0.9840779762877135,-0.2508620743124235,4
0.18,0,0,4,861,normal,normal,0,[0.9 0.  0.  0.  0.  0.1],0.8185677380393563,0.9473684210526315,"[('normal', 18), ('blacklist', 1)]",0.5424442997367553,0.9072841137254394,0.31110130704948286,4
0.584,0,0,15,16842,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",1.0,0.9920262873857641,0.9401938964770071,3
2.816,0,0,2,96,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9598621970978269,0.9993146028887739,0.27536615764734185,4
0.0,0,0,1,83,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9857947175510482,0.995840365897291,0.24376188800105505,4
0.52,0,0,9,1013,normal,normal,0,[0.9 0.  0.  0.1 0.  0. ],0.8185677380393563,1.0,"[('normal', 19)]",0.6880183273769495,0.9023579855211881,0.288408118889091,3
0.0,0,0,1,64,normal,normal,0,[0.92070707 0.         0.         0.         0.         0.07929293],0.8453815599070637,1.0,"[('normal', 19)]",0.9843629433170863,0.8459320500380124,0.20507086045819514,4
0.0,0,0,1,64,normal,normal,0,[0.92070707 0.         0.         0.         0.         0.07929293],0.8453815599070637,1.0,"[('normal', 19)]",0.9843629433170863,0.8459320500380124,0.20507086045819514,4
0.0,0,0,1,44,scan44,scan44,0,[0.01717898 0.98282102 0.         0.         0.         0.        ],0.9515296952184099,1.0,"[('scan44', 19)]",0.9866008044796654,0.9494508137319719,-0.18860694530620178,4
20.048,0,0,6,708,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",1.0,0.9990353064107351,0.9484073060287,4
1.024,0,0,6,519,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.5217385288129535,0.990062556063209,0.34466647332625633,4
0.0,0,0,1,154,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9850007617372365,0.9975447552479275,0.24863687284455704,4
0.0,0,0,1,104,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9865095723567251,0.9942746609564077,0.24542319394693327,4
2.96,0,0,2,96,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9562862954636084,0.9988481551450171,0.27632366948277143,4
0.212,0,0,5,517,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.5389289899930874,0.9990813716986116,0.33499013394807164,4
0.0,0,40,1,40,normal,normal,0,[0.90261905 0.         0.         0.         0.09738095 0.        ],0.8218008970901244,1.0,"[('normal', 19)]",0.5453931834369296,0.8337834341780574,0.7952598432446676,4
1.244,0,0,13,10566,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9999999960946938,0.9996660259873629,0.9255946153006347,3
0.412,0,0,7,2188,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.8175441917556894,0.9866387419586475,0.3030695709313673,2
10.956,0,0,2,92,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9535716077423081,0.9990511089503327,0.28470519019847057,4
1.944,0,0,8,715,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.5069666964267191,0.9975045036949588,0.3520665101621138,3
0.0,0,0,1,73,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9851449054007941,0.9973643311290357,0.24089944973066013,4
0.0,0,0,1,45,normal,normal,0,[0.70496638 0.29503362 0.         0.         0.         0.        ],0.6614515542852007,0.05263157894736842,"[('scan44', 18), ('normal', 1)]",0.983132450583215,0.8282350621765088,0.14036252753538495,4
0.724,0,0,10,852,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,0.9473684210526315,"[('normal', 18), ('blacklist', 1)]",0.7999399605785819,0.9982533665415714,0.2988424767972632,3
3.1,0,0,2,96,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9522744511974235,0.9982605477372568,0.2773180417546222,4
0.708,0,0,2,450,normal,normal,0,[0.9 0.  0.  0.1 0.  0. ],0.8185677380393563,0.7894736842105263,"[('normal', 15), ('anomaly-spam', 4)]",0.561586788949305,0.8804872541450668,0.3070766956139313,4
0.0,0,0,2,197,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,0.7894736842105263,"[('normal', 15), ('dos', 4)]",0.9750731497438778,0.9935256974102069,0.25055561251532393,4
3.136,0,0,2,96,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9511456183119401,0.9982605477372568,0.27758627391021296,4
0.232,0,0,9,1155,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.7407861957129828,0.9992349169536906,0.3096551701981027,3
42.844,0,0,6,354,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",1.0,0.9882925267938119,0.9524077972027717,4
0.0,0,0,1,126,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9864063963183091,0.9945311534362193,0.24679454555157168,4
11.008,0,0,8,639,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9999863866649775,0.9982840568577802,0.27806842194864984,3
2.956,0,0,2,96,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9563927204544306,0.9988481551450171,0.2762962706709454,4
0.128,0,72,3,164,normal,normal,0,[0.8 0.  0.  0.2 0.  0. ],0.7207200898713394,1.0,"[('normal', 19)]",0.999998898656297,0.858695404901057,0.8341472480380253,4
0.0,0,0,1,44,scan44,scan44,0,[0.01717898 0.98282102 0.         0.         0.         0.        ],0.9515296952184099,1.0,"[('scan44', 19)]",0.9866008044796654,0.9494508137319719,-0.18860694530620178,4
0.0,0,0,1,44,scan44,scan44,0,[0.01717898 0.98282102 0.         0.         0.         0.        ],0.9515296952184099,1.0,"[('scan44', 19)]",0.9866008044796654,0.9494508137319719,-0.18860694530620178,4
32.968,0,0,18,7245,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",1.0,0.9997841758775801,0.8948766089821603,3
0.0,0,0,1,72,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.985067690006422,0.997238841067486,0.24031425279219434,4
0.0,0,72,1,75,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9999924242428742,0.9993293084964071,0.9737236085539998,4
1.244,0,72,11,2809,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9928924761988746,0.9997601574720415,0.9748245039350589,2
0.988,0,0,8,458,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,0.7894736842105263,"[('normal', 15), ('anomaly-spam', 4)]",0.5522393249606136,0.9969020591305953,0.3365835767825815,3
0.0,0,0,1,57,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9835951083478289,0.9961912789227416,0.21261524267708498,4
2.124,0,64,10,446,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,0.8947368421052632,"[('normal', 17), ('anomaly-spam', 2)]",0.9999033626361893,0.997022381267656,0.9718873491467158,3
2.964,0,0,2,96,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9561794402005992,0.9988481551450171,0.27635111935370205,4
0.0,0,0,1,73,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9851449054007941,0.9973643311290357,0.24089944973066013,4
0.192,0,72,2,414,normal,normal,0,[0.9 0.  0.  0.1 0.  0. ],0.8185677380393563,1.0,"[('normal', 19)]",0.9999993469571193,0.8978522413490632,0.8834865324652368,4
3.04,0,0,2,96,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9540645397346454,0.9982605477372568,0.27688296450370137,4
